target_status[] cases_exp[] attack_exp[] status[]
1 2248.412280656408 0.00076032468 1
1 1020.45439993519 0.00178764706 1
1 3445.0638870987577 0.00121826465 1
1 995.9444069085478 0.00131149828 1
1 2185.040573022626 0.00072874836 1
1 559.8617433681553 0.00096762194 1
1 4034.3159318395683 0.00173165911 2
1 5262.020759535438 0.00162497932 1
0 20.533445485446645 0.00003540249 0
1 3436.243181643742 0.00170763870 2
1 50.502153773184794 0.00008201666 1
1 372.78325677099616 0.00041185133 1
1 2542.1706926541883 0.00172897550 1
1 743.4697884748165 0.00080548354 1
1 818.4096344102581 0.00081121212 1
1 249.65488472270167 0.00069629755 1
1 2126.6576250314356 0.00291238608 2
0 42.2237048010593 0.00027543518 1
2 3559.082350234495 0.00306668298 2
1 1702.2877015214738 0.00232711930 1
1 544.8231635759972 0.00089788625 1
NA NA NA NA
END
