		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	rr[1]	2162.0	2032.0	76.78	402.0	1618.0	6948.0	1	10000
	rr[2]	2138.0	1993.0	74.09	391.3	1598.0	6944.0	1	10000
	rr[3]	2159.0	2059.0	77.74	393.7	1611.0	7042.0	1	10000
	rr[4]	2145.0	2.0E+3	75.19	392.8	1608.0	6933.0	1	10000
	rr[5]	2166.0	2049.0	77.2	395.9	1613.0	7059.0	1	10000
	rr[6]	2167.0	2065.0	78.04	393.1	1620.0	7059.0	1	10000
	rr[7]	2182.0	2106.0	80.05	385.7	1621.0	7127.0	1	10000
	rr[8]	2148.0	2051.0	78.5	392.7	1611.0	6987.0	1	10000
	rr[9]	2160.0	2044.0	75.71	392.4	1619.0	6952.0	1	10000
	rr[10]	2164.0	2054.0	77.46	393.1	1616.0	7085.0	1	10000
	rr[11]	2186.0	2057.0	76.75	402.1	1632.0	7120.0	1	10000
	rr[12]	2196.0	2098.0	78.84	395.4	1635.0	7178.0	1	10000
	rr[13]	2146.0	2031.0	77.83	392.8	1610.0	6991.0	1	10000
	rr[14]	2164.0	2027.0	75.26	394.2	1619.0	6985.0	1	10000
	rr[15]	2154.0	2005.0	74.7	401.2	1620.0	6952.0	1	10000
	rr[16]	2171.0	2057.0	76.57	398.5	1624.0	7041.0	1	10000
	rr[17]	2160.0	2093.0	80.24	383.1	1612.0	7047.0	1	10000
	rr[18]	2160.0	2039.0	73.82	389.8	1612.0	7167.0	1	10000
	rr[19]	2188.0	2108.0	79.25	392.2	1631.0	7238.0	1	10000
	rr[20]	2131.0	2008.0	76.54	398.5	1595.0	6845.0	1	10000
	rr[21]	2164.0	2045.0	77.44	397.7	1621.0	7134.0	1	10000
